,time,relative_location_list
0,2021-09-10T00:26:31.600,"[1, 5, 3, 2, 4]"
1,2021-09-10T00:26:31.700,"[1, 5, 3, 2, 4]"
2,2021-09-10T00:26:31.800,"[1, 5, 3, 2, 4]"
3,2021-09-10T00:26:31.900,"[1, 5, 3, 2, 4]"
4,2021-09-10T00:26:32.000,"[1, 5, 3, 2, 4]"
5,2021-09-10T00:26:32.100,"[1, 5, 3, 2, 4]"
6,2021-09-10T00:26:32.200,"[1, 5, 3, 2, 4]"
7,2021-09-10T00:26:32.300,"[1, 5, 3, 2, 4]"
8,2021-09-10T00:26:32.400,"[1, 5, 3, 2, 4]"
9,2021-09-10T00:26:32.500,"[1, 5, 3, 2, 4]"
10,2021-09-10T00:26:32.600,"[1, 5, 3, 2, 4]"
11,2021-09-10T00:26:32.700,"[1, 5, 3, 2, 4]"
12,2021-09-10T00:26:32.800,"[1, 5, 3, 2, 4]"
13,2021-09-10T00:26:32.900,"[1, 5, 3, 2, 4]"
14,2021-09-10T00:26:33.000,"[1, 5, 4, 2, 3]"
15,2021-09-10T00:26:33.100,"[1, 5, 4, 2, 3]"
16,2021-09-10T00:26:33.200,"[1, 5, 4, 2, 3]"
17,2021-09-10T00:26:33.300,"[2, 5, 4, 1, 3]"
18,2021-09-10T00:26:33.400,"[2, 5, 4, 1, 3]"
19,2021-09-10T00:26:33.500,"[2, 5, 4, 1, 3]"
20,2021-09-10T00:26:33.600,"[2, 5, 4, 1, 3]"
21,2021-09-10T00:26:33.700,"[3, 5, 4, 1, 2]"
22,2021-09-10T00:26:33.800,"[3, 5, 4, 1, 2]"
23,2021-09-10T00:26:33.900,"[3, 5, 4, 1, 2]"
